"id","predicate","arity","argument_types","kind","scope_dimension","description","example"
"F001","natural_person","1","actor:Actor","extensional","DEFINITION","Living natural person (excludes legal persons & deceased).","natural_person('alice')"
"F002","concerns","2","datum:Datum, actor:Actor","extensional","DEFINITION","Datum is about the actor — anchor for personal-data classification.","concerns('record_42','alice')"
"F003","identifies","2","datum:Datum, actor:Actor","extensional","DEFINITION","Datum permits direct or indirect identification of the actor.","identifies('record_42','alice')"
"F004","category","2","datum:Datum, tag:Category","extensional","DEFINITION","Datum belongs to an Art 9(1) special-data category.","category('hr_record_3','health')"
"F005","criminal_offence_data","1","datum:Datum","extensional","DEFINITION","Datum relates to criminal convictions and offences.","criminal_offence_data('record_88')"
"F006","processing","1","scenario:Scenario","extensional","MATERIAL","Scenario is a processing operation (collection, storage, use, etc.).","processing('s_payroll')"
"F007","automated_means","1","scenario:Scenario","extensional","MATERIAL","Processing is wholly or partly carried out by automated means.","automated_means('s_payroll')"
"F008","filing_system","1","scenario:Scenario","extensional","MATERIAL","Non-automated processing forming part of a structured filing system.","filing_system('s_archive')"
"F009","controller","2","actor:Actor, scenario:Scenario","extensional","ROLE","Actor determines purposes and means of processing.","controller('acme_inc','s_payroll')"
"F010","processor","2","actor:Actor, scenario:Scenario","extensional","ROLE","Actor processes personal data on behalf of the controller.","processor('cloud_co','s_payroll')"
"F011","provider","2","actor:Actor, ai_system:AISystem","extensional","ROLE","Actor develops or has developed an AI system and places it on the EU market or puts into service under its own name.","provider('robotcorp','ai_robot_v2')"
"F012","deployer","2","actor:Actor, ai_system:AISystem","extensional","ROLE","Actor uses an AI system under its authority (other than personal non-professional use).","deployer('factory_eu','ai_robot_v2')"
"F013","importer","2","actor:Actor, ai_system:AISystem","extensional","ROLE","Actor located in the Union places on the EU market an AI system bearing a third-country provider's name.","importer('eu_importer_gmbh','ai_robot_v2')"
"F014","distributor","2","actor:Actor, ai_system:AISystem","extensional","ROLE","Actor in the supply chain (other than provider/importer) makes an AI system available on the market.","distributor('eu_reseller','ai_robot_v2')"
"F015","manufacturer","2","actor:Actor, ai_system:AISystem","extensional","ROLE","Product manufacturer placing on the EU market a product with an AI system as a safety component (Art 25(3)).","manufacturer('toolmaker_eu','ai_robot_v2')"
"F016","authorised_representative","2","actor:Actor, ai_system:AISystem","extensional","ROLE","Actor established in the Union mandated to act on behalf of a non-EU provider.","authorised_representative('eu_rep_ltd','ai_robot_v2')"
"F017","established_in","2","actor:Actor, jurisdiction:Jurisdiction","extensional","TERRITORIAL","Actor has a stable establishment in the named jurisdiction.","established_in('acme_inc','eu')"
"F018","located_in","2","actor:Actor, jurisdiction:Jurisdiction","extensional","TERRITORIAL","Actor is physically located in the named jurisdiction.","located_in('factory_eu','eu')"
"F019","processing_in_context_of_establishment","2","scenario:Scenario, actor:Actor","extensional","TERRITORIAL","Processing carried out in the context of the activities of the actor's EU establishment, regardless of where processing physically occurs.","processing_in_context_of_establishment('s_payroll','acme_inc')"
"F020","data_subjects_in_eu_targeted","2","scenario:Scenario, actor:Actor","extensional","TERRITORIAL","Scenario offers goods or services to data subjects in the Union (regardless of payment).","data_subjects_in_eu_targeted('s_webshop','acme_inc')"
"F021","monitors_behaviour_in_eu","2","actor:Actor, scenario:Scenario","extensional","TERRITORIAL","Scenario monitors data-subject behaviour taking place within the Union.","monitors_behaviour_in_eu('acme_inc','s_analytics')"
"F022","member_state_law_via_intl_law","1","actor:Actor","extensional","TERRITORIAL","Actor is subject to a Member State's law by virtue of public international law.","member_state_law_via_intl_law('embassy_x')"
"F023","places_on_eu_market","2","actor:Actor, ai_system:AISystem","extensional","TERRITORIAL","Actor places (first makes available) the AI system on the EU market.","places_on_eu_market('robotcorp','ai_robot_v2')"
"F024","puts_into_service_in_eu","2","actor:Actor, ai_system:AISystem","extensional","TERRITORIAL","Actor puts the AI system into service in the EU (first use for intended purpose).","puts_into_service_in_eu('factory_eu','ai_robot_v2')"
"F025","output_used_in_eu","1","scenario:Scenario","extensional","TERRITORIAL","AI system output is used in the Union (relevant when provider/deployer is outside the EU).","output_used_in_eu('s_translation')"
"F026","made_available_on_market","2","ai_system:AISystem, jurisdiction:Jurisdiction","extensional","TERRITORIAL","AI system made available on the market in the named jurisdiction.","made_available_on_market('ai_robot_v2','eu')"
"F027","places_on_eu_market_with_product","2","actor:Actor, ai_system:AISystem","extensional","TERRITORIAL","Manufacturer places on the EU market a product containing the AI system under their own name.","places_on_eu_market_with_product('toolmaker_eu','ai_robot_v2')"
"F028","has_feature","2","scenario:Scenario, tag:FeatureTag","extensional","CLASSIFICATION","Target carries a closed-vocabulary feature tag (machine_based, social_scoring, compute_above_10e25, ...).","has_feature('ai_robot_v2','machine_based')"
"F029","has_capability","2","scenario:Scenario, tag:FeatureTag","extensional","CLASSIFICATION","Target has a capability tag (autonomous_operation, inference_from_input). Anchors the Art 3(1) AI-system definition.","has_capability('ai_robot_v2','inference_from_input')"
"F030","used_in","2","ai_system:AISystem, use:Use","extensional","CLASSIFICATION","AI system is used in an Annex III use-case category.","used_in('ai_recruiter','employment_workers_management')"
"F031","safety_component_of","2","ai_system:AISystem, product:Product","extensional","CLASSIFICATION","AI system is intended to be used as a safety component of the named product.","safety_component_of('ai_brake_assist','truck_model_x')"
"F032","subject_to_third_party_assessment","2","target:Product, legislation:Legislation","extensional","CLASSIFICATION","Product (or AI system) requires third-party conformity assessment under that Annex I legislation.","subject_to_third_party_assessment('truck_model_x','motor_vehicles_2018_858')"
"F033","activity_outside_union_law","1","scenario:Scenario","extensional","EXCLUSION","Scenario falls outside the scope of Union law.","activity_outside_union_law('s_cfsp_op')"
"F034","purely_personal_household_activity","1","scenario:Scenario","extensional","EXCLUSION","Scenario is a purely personal or household activity.","purely_personal_household_activity('s_family_photos')"
"F035","led_law_enforcement_processing","1","scenario:Scenario","extensional","EXCLUSION","Processing by competent authorities for law-enforcement purposes (Directive 2016/680).","led_law_enforcement_processing('s_police_db')"
"F036","eu_institution_processing","1","scenario:Scenario","extensional","EXCLUSION","Processing by Union institutions/bodies (Regulation 2018/1725 governs instead).","eu_institution_processing('s_commission_hr')"
"F037","military_or_defence_purpose","1","scenario:Scenario","extensional","EXCLUSION","AI system used exclusively for military or defence purposes.","military_or_defence_purpose('s_drone_targeting')"
"F038","national_security_purpose","1","scenario:Scenario","extensional","EXCLUSION","AI system used exclusively for national-security purposes.","national_security_purpose('s_intel_analysis')"
"F039","scientific_research_development_only","1","scenario:Scenario","extensional","EXCLUSION","AI system specifically developed and put into service for scientific R&D only.","scientific_research_development_only('s_lab_proto')"
"F040","pre_market_research_testing","1","scenario:Scenario","extensional","EXCLUSION","Research, testing, development of AI system before being placed on market or put into service.","pre_market_research_testing('s_internal_eval')"
"F041","free_open_source_ai","1","scenario:Scenario","extensional","EXCLUSION","AI system released under free and open-source licence (subject to high-risk / prohibited carve-outs).","free_open_source_ai('s_oss_model')"
"F042","eprivacy_lex_specialis","1","scenario:Scenario","extensional","MATERIAL","Marker: scenario covered by lex specialis under Directive 2002/58/EC (ePrivacy). Coordination, not exclusion.","eprivacy_lex_specialis('s_email_marketing')"
"F043","annex_i_legislation","1","legislation:Legislation","reference","CLASSIFICATION","Listed Union harmonisation legislation (Annex I, Sections A & B).","annex_i_legislation('medical_devices_2017_745')"
"F044","annex_iii_use_case","1","use:Use","reference","CLASSIFICATION","Annex III high-risk use-case category.","annex_iii_use_case('biometrics')"
"F045","entry_into_force","2","regulation:Regulation, time:Time","reference","TEMPORAL","Date a regulation entered into force.","entry_into_force('ai_act','2024-08-01')"
"F046","application_date","3","regulation:Regulation, provision:Provision, time:Time","reference","TEMPORAL","Staggered application date for a specific provision/chapter of a regulation.","application_date('ai_act','chapter_ii_prohibitions','2025-02-02')"
"F047","transitional_grace","3","regulation:Regulation, cohort:Provision, time:Time","reference","TEMPORAL","Transitional grace deadline for systems pre-dating the regulation.","transitional_grace('ai_act','high_risk_predeployed','2026-08-02')"
"F048","personal_data","1","datum:Datum","intensional","DEFINITION","Derived: datum identifies/relates to a natural person OR is special-category OR is criminal data.","personal_data('record_42')"
