"id","source_provision_id","head_predicate","head_arity","body","full_text"
"R0001","G001","gdpr_protected_person","1","natural_person(A)","gdpr_protected_person(A) <= natural_person(A)"
"R0002","G001","gdpr_protection_independent_of_nationality_or_residence","1","natural_person(A)","gdpr_protection_independent_of_nationality_or_residence(A) <= natural_person(A)"
"R0003","G001","legal_person_data","1","concerns(D, A) & legal_person(A)","legal_person_data(D) <= concerns(D, A) & legal_person(A)"
"R0004","G001","gdpr_personal_data_exclusion_reason","2","legal_person_data(D)","gdpr_personal_data_exclusion_reason(D, 'legal_person_data') <= legal_person_data(D)"
"R0005","G001","gdpr_personal_data_exclusion_reason","2","legal_person_contact_details(D)","gdpr_personal_data_exclusion_reason(D, 'legal_person_contact_details') <= legal_person_contact_details(D)"
"R0006","G002","gdpr_material","1","processing(S) & processing_concerns(S, D) & personal_data(D) & automated_means(S)","gdpr_material(S) <= processing(S) & processing_concerns(S, D) & personal_data(D) & automated_means(S)"
"R0007","G002","gdpr_material","1","processing(S) & processing_concerns(S, D) & personal_data(D) & manual_processing(S) & filing_system(S)","gdpr_material(S) <= processing(S) & processing_concerns(S, D) & personal_data(D) & manual_processing(S) & filing_system(S)"
"R0008","G002","gdpr_material","1","processing(S) & processing_concerns(S, D) & personal_data(D) & manual_processing(S) & intended_to_form_part_of_filing_system(S)","gdpr_material(S) <= processing(S) & processing_concerns(S, D) & personal_data(D) & manual_processing(S) & intended_to_form_part_of_filing_system(S)"
"R0009","G002","unstructured_file_set","1","file_set(S) & ~structured_by_specific_criteria(S)","unstructured_file_set(S) <= file_set(S) & ~structured_by_specific_criteria(S)"
"R0010","G002","gdpr_material_exclusion_reason","2","unstructured_file_set(S)","gdpr_material_exclusion_reason(S, 'unstructured_file_set') <= unstructured_file_set(S)"
"R0011","G003","activity_outside_union_law","1","national_security_activity(S)","activity_outside_union_law(S) <= national_security_activity(S)"
"R0012","G003","activity_outside_union_law","1","common_foreign_security_policy_activity(S)","activity_outside_union_law(S) <= common_foreign_security_policy_activity(S)"
"R0013","G003","gdpr_excluded","1","activity_outside_union_law(S)","gdpr_excluded(S) <= activity_outside_union_law(S)"
"R0014","G003","gdpr_excluded","1","member_state_chapter_2_title_v_teu_activity(S)","gdpr_excluded(S) <= member_state_chapter_2_title_v_teu_activity(S)"
"R0015","G004","eu_institution_processing","1","processing(S) & performs_processing(A, S) & eu_institution_body_office_agency(A)","eu_institution_processing(S) <= processing(S) & performs_processing(A, S) & eu_institution_body_office_agency(A)"
"R0016","G004","governed_by","2","eu_institution_processing(S)","governed_by(S, 'regulation_2018_1725') <= eu_institution_processing(S)"
"R0017","G004","gdpr_excluded","1","eu_institution_processing(S)","gdpr_excluded(S) <= eu_institution_processing(S)"
"R0018","G005","purely_personal_household_activity","1","processing(S) & performs_processing(A, S) & natural_person(A) & personal_or_household_context(S) & ~professional_or_commercial_activity(S)","purely_personal_household_activity(S) <= processing(S) & performs_processing(A, S) & natural_person(A) & personal_or_household_context(S) & ~professional_or_commercial_activity(S)"
"R0019","G005","gdpr_excluded","1","purely_personal_household_activity(S)","gdpr_excluded(S) <= purely_personal_household_activity(S)"
"R0020","G006","law_enforcement_purpose","1","prevention_criminal_offences(S)","law_enforcement_purpose(S) <= prevention_criminal_offences(S)"
"R0021","G006","law_enforcement_purpose","1","investigation_criminal_offences(S)","law_enforcement_purpose(S) <= investigation_criminal_offences(S)"
"R0022","G006","law_enforcement_purpose","1","detection_criminal_offences(S)","law_enforcement_purpose(S) <= detection_criminal_offences(S)"
"R0023","G006","law_enforcement_purpose","1","prosecution_criminal_offences(S)","law_enforcement_purpose(S) <= prosecution_criminal_offences(S)"
"R0024","G006","law_enforcement_purpose","1","execution_criminal_penalties(S)","law_enforcement_purpose(S) <= execution_criminal_penalties(S)"
"R0025","G006","law_enforcement_purpose","1","safeguarding_against_threats_to_public_security(S)","law_enforcement_purpose(S) <= safeguarding_against_threats_to_public_security(S)"
"R0026","G006","law_enforcement_purpose","1","prevention_of_threats_to_public_security(S)","law_enforcement_purpose(S) <= prevention_of_threats_to_public_security(S)"
"R0027","G006","led_law_enforcement_processing","1","processing(S) & performs_processing(A, S) & competent_authority(A) & law_enforcement_purpose(S)","led_law_enforcement_processing(S) <= processing(S) & performs_processing(A, S) & competent_authority(A) & law_enforcement_purpose(S)"
"R0028","G006","gdpr_excluded","1","led_law_enforcement_processing(S)","gdpr_excluded(S) <= led_law_enforcement_processing(S)"
"R0029","G006","governed_by","2","led_law_enforcement_processing(S)","governed_by(S, 'directive_2016_680') <= led_law_enforcement_processing(S)"
"R0030","G006","competent_authority_other_purpose_processing","1","processing(S) & performs_processing(A, S) & competent_authority(A) & within_union_law(S) & non_led_task(S)","competent_authority_other_purpose_processing(S) <= processing(S) & performs_processing(A, S) & competent_authority(A) & within_union_law(S) & non_led_task(S)"
"R0031","G006","gdpr_potentially_applies_to_competent_authority_other_purpose","1","competent_authority_other_purpose_processing(S)","gdpr_potentially_applies_to_competent_authority_other_purpose(S) <= competent_authority_other_purpose_processing(S)"
"R0032","G006","member_state_specific_gdpr_provisions_allowed","1","competent_authority_other_purpose_processing(S)","member_state_specific_gdpr_provisions_allowed(S) <= competent_authority_other_purpose_processing(S)"
"R0033","G006","may_restrict_gdpr_right_or_obligation","2","private_body_processing(S) & gdpr_applies_to_processing(S) & legislative_restriction_measure(S, R) & necessary_and_proportionate_restriction(S) & safeguards_specific_important_interest(S)","may_restrict_gdpr_right_or_obligation(S, R) <= private_body_processing(S) & gdpr_applies_to_processing(S) & legislative_restriction_measure(S, R) & necessary_and_proportionate_restriction(S) & safeguards_specific_important_interest(S)"
"R0034","G006","safeguards_specific_important_interest","1","safeguards_public_security(S)","safeguards_specific_important_interest(S) <= safeguards_public_security(S)"
"R0035","G006","safeguards_specific_important_interest","1","safeguards_criminal_offence_prevention(S)","safeguards_specific_important_interest(S) <= safeguards_criminal_offence_prevention(S)"
"R0036","G006","safeguards_specific_important_interest","1","safeguards_criminal_offence_investigation(S)","safeguards_specific_important_interest(S) <= safeguards_criminal_offence_investigation(S)"
"R0037","G006","safeguards_specific_important_interest","1","safeguards_criminal_offence_detection(S)","safeguards_specific_important_interest(S) <= safeguards_criminal_offence_detection(S)"
"R0038","G006","safeguards_specific_important_interest","1","safeguards_criminal_offence_prosecution(S)","safeguards_specific_important_interest(S) <= safeguards_criminal_offence_prosecution(S)"
"R0039","G006","safeguards_specific_important_interest","1","safeguards_execution_criminal_penalties(S)","safeguards_specific_important_interest(S) <= safeguards_execution_criminal_penalties(S)"
"R0040","G007","judicial_authority_processing","1","processing(S) & performs_processing(A, S) & court_or_judicial_authority(A)","judicial_authority_processing(S) <= processing(S) & performs_processing(A, S) & court_or_judicial_authority(A)"
"R0041","G007","judicial_capacity_processing","1","judicial_authority_processing(S) & judicial_capacity(S)","judicial_capacity_processing(S) <= judicial_authority_processing(S) & judicial_capacity(S)"
"R0042","G007","supervisory_authority_competence_excluded","1","judicial_capacity_processing(S)","supervisory_authority_competence_excluded(S) <= judicial_capacity_processing(S)"
"R0043","G007","judicial_system_supervision_possible","1","judicial_capacity_processing(S)","judicial_system_supervision_possible(S) <= judicial_capacity_processing(S)"
"R0044","G007","gdpr_applies_to_judicial_authority_processing","1","judicial_authority_processing(S) & gdpr_material(S)","gdpr_applies_to_judicial_authority_processing(S) <= judicial_authority_processing(S) & gdpr_material(S)"
"R0045","G008","intermediary_liability_rules_unaffected","1","information_society_service(S) & intermediary_service_provider(A, S)","intermediary_liability_rules_unaffected(S) <= information_society_service(S) & intermediary_service_provider(A, S)"
"R0046","G008","free_movement_information_society_services_supported","1","information_society_service(S)","free_movement_information_society_services_supported(S) <= information_society_service(S)"
"R0047","G009","establishment_in_union","1","established_in(A, 'eu') & effective_real_activity(A) & stable_arrangements(A)","establishment_in_union(A) <= established_in(A, 'eu') & effective_real_activity(A) & stable_arrangements(A)"
"R0048","G009","establishment_in_union","1","branch_in_union(A) & effective_real_activity(A) & stable_arrangements(A)","establishment_in_union(A) <= branch_in_union(A) & effective_real_activity(A) & stable_arrangements(A)"
"R0049","G009","establishment_in_union","1","subsidiary_in_union(A) & effective_real_activity(A) & stable_arrangements(A)","establishment_in_union(A) <= subsidiary_in_union(A) & effective_real_activity(A) & stable_arrangements(A)"
"R0050","G009","legal_form_not_determining_for_establishment","1","establishment_in_union(A)","legal_form_not_determining_for_establishment(A) <= establishment_in_union(A)"
"R0051","G009","gdpr_territorial_link","2","controller(A, S) & establishment_in_union(A) & processing_in_context_of_establishment(S, A)","gdpr_territorial_link(A, S) <= controller(A, S) & establishment_in_union(A) & processing_in_context_of_establishment(S, A)"
"R0052","G009","gdpr_territorial_link","2","processor(A, S) & establishment_in_union(A) & processing_in_context_of_establishment(S, A)","gdpr_territorial_link(A, S) <= processor(A, S) & establishment_in_union(A) & processing_in_context_of_establishment(S, A)"
"R0053","G009","processing_location_irrelevant_for_article_3_1","1","processing_in_context_of_establishment(S, A) & establishment_in_union(A)","processing_location_irrelevant_for_article_3_1(S) <= processing_in_context_of_establishment(S, A) & establishment_in_union(A)"
"R0054","G010","data_subjects_in_eu_targeted","2","offering_goods_or_services_to_eu_data_subjects(A, S)","data_subjects_in_eu_targeted(S, A) <= offering_goods_or_services_to_eu_data_subjects(A, S)"
"R0055","G010","offering_goods_or_services_to_eu_data_subjects","2","envisages_offering_to_eu_data_subjects(A, S)","offering_goods_or_services_to_eu_data_subjects(A, S) <= envisages_offering_to_eu_data_subjects(A, S)"
"R0056","G010","offering_goods_or_services_to_eu_data_subjects","2","eu_language_or_currency_with_ordering(A, S)","offering_goods_or_services_to_eu_data_subjects(A, S) <= eu_language_or_currency_with_ordering(A, S)"
"R0057","G010","offering_goods_or_services_to_eu_data_subjects","2","mentions_eu_customers_or_users(A, S)","offering_goods_or_services_to_eu_data_subjects(A, S) <= mentions_eu_customers_or_users(A, S)"
"R0058","G010","targeting_factor","3","eu_language_or_currency_with_ordering(A, S)","targeting_factor(A, S, 'eu_language_or_currency_with_ordering') <= eu_language_or_currency_with_ordering(A, S)"
"R0059","G010","targeting_factor","3","mentions_eu_customers_or_users(A, S)","targeting_factor(A, S, 'mentions_eu_customers_or_users') <= mentions_eu_customers_or_users(A, S)"
"R0060","G010","insufficient_targeting_factor","3","website_accessible_in_eu(A, S)","insufficient_targeting_factor(A, S, 'website_accessible_in_eu') <= website_accessible_in_eu(A, S)"
"R0061","G010","insufficient_targeting_factor","3","email_address_accessible_in_eu(A, S)","insufficient_targeting_factor(A, S, 'email_address_accessible_in_eu') <= email_address_accessible_in_eu(A, S)"
"R0062","G010","insufficient_targeting_factor","3","third_country_language_used(A, S)","insufficient_targeting_factor(A, S, 'third_country_language_used') <= third_country_language_used(A, S)"
"R0063","G010","payment_not_required_for_offering_goods_services","1","offering_goods_or_services_to_eu_data_subjects(A, S)","payment_not_required_for_offering_goods_services(S) <= offering_goods_or_services_to_eu_data_subjects(A, S)"
"R0064","G011","monitors_behaviour_in_eu","2","tracks_natural_persons_on_internet(A, S) & behaviour_takes_place_in_eu(S)","monitors_behaviour_in_eu(A, S) <= tracks_natural_persons_on_internet(A, S) & behaviour_takes_place_in_eu(S)"
"R0065","G011","monitors_behaviour_in_eu","2","tracks_natural_persons_on_internet(A, S) & profiling_used_for_decisions(A, S) & behaviour_takes_place_in_eu(S)","monitors_behaviour_in_eu(A, S) <= tracks_natural_persons_on_internet(A, S) & profiling_used_for_decisions(A, S) & behaviour_takes_place_in_eu(S)"
"R0066","G011","monitors_behaviour_in_eu","2","tracks_natural_persons_on_internet(A, S) & profiling_used_to_analyse_or_predict(A, S) & behaviour_takes_place_in_eu(S)","monitors_behaviour_in_eu(A, S) <= tracks_natural_persons_on_internet(A, S) & profiling_used_to_analyse_or_predict(A, S) & behaviour_takes_place_in_eu(S)"
"R0067","G011","profiling_used_to_analyse_or_predict","2","analyses_or_predicts_preferences(A, S)","profiling_used_to_analyse_or_predict(A, S) <= analyses_or_predicts_preferences(A, S)"
"R0068","G011","profiling_used_to_analyse_or_predict","2","analyses_or_predicts_behaviour(A, S)","profiling_used_to_analyse_or_predict(A, S) <= analyses_or_predicts_behaviour(A, S)"
"R0069","G011","profiling_used_to_analyse_or_predict","2","analyses_or_predicts_attitudes(A, S)","profiling_used_to_analyse_or_predict(A, S) <= analyses_or_predicts_attitudes(A, S)"
"R0070","G012","member_state_law_via_intl_law","1","controller(A, S) & diplomatic_mission_or_consular_post(A) & represents_member_state(A)","member_state_law_via_intl_law(A) <= controller(A, S) & diplomatic_mission_or_consular_post(A) & represents_member_state(A)"
"R0071","G012","gdpr_territorial_link","2","controller(A, S) & member_state_law_via_intl_law(A)","gdpr_territorial_link(A, S) <= controller(A, S) & member_state_law_via_intl_law(A)"
"R0072","G013","personal_data","1","concerns(D, A) & natural_person(A) & identified_person(A, D)","personal_data(D) <= concerns(D, A) & natural_person(A) & identified_person(A, D)"
"R0073","G013","personal_data","1","concerns(D, A) & natural_person(A) & identifiable_person(A, D)","personal_data(D) <= concerns(D, A) & natural_person(A) & identifiable_person(A, D)"
"R0074","G013","identifiable_person","2","concerns(D, A) & reasonably_likely_means_to_identify(D, A)","identifiable_person(A, D) <= concerns(D, A) & reasonably_likely_means_to_identify(D, A)"
"R0075","G013","personal_data","1","pseudonymised_data(D) & reidentifiable_with_additional_information(D, A) & natural_person(A)","personal_data(D) <= pseudonymised_data(D) & reidentifiable_with_additional_information(D, A) & natural_person(A)"
"R0076","G013","anonymous_information","1","information(D) & ~relates_to_identifiable_natural_person(D)","anonymous_information(D) <= information(D) & ~relates_to_identifiable_natural_person(D)"
"R0077","G013","anonymous_information","1","anonymised_data(D) & data_subject_no_longer_identifiable(D)","anonymous_information(D) <= anonymised_data(D) & data_subject_no_longer_identifiable(D)"
"R0078","G013","gdpr_principles_do_not_apply","1","anonymous_information(D)","gdpr_principles_do_not_apply(D) <= anonymous_information(D)"
"R0079","G013","identifiability_factor","2","identification_costs_relevant(D)","identifiability_factor(D, 'costs_of_identification') <= identification_costs_relevant(D)"
"R0080","G013","identifiability_factor","2","identification_time_relevant(D)","identifiability_factor(D, 'time_required_for_identification') <= identification_time_relevant(D)"
"R0081","G013","identifiability_factor","2","available_technology_relevant(D)","identifiability_factor(D, 'available_technology') <= available_technology_relevant(D)"
"R0082","G013","identifiability_factor","2","technological_developments_relevant(D)","identifiability_factor(D, 'technological_developments') <= technological_developments_relevant(D)"
"R0083","G014","deceased_person_data","1","concerns(D, A) & deceased_person(A)","deceased_person_data(D) <= concerns(D, A) & deceased_person(A)"
"R0084","G014","gdpr_personal_data_exclusion_reason","2","deceased_person_data(D)","gdpr_personal_data_exclusion_reason(D, 'deceased_person_data') <= deceased_person_data(D)"
"R0085","G014","member_state_may_provide_deceased_person_rules","1","deceased_person_data(D)","member_state_may_provide_deceased_person_rules(D) <= deceased_person_data(D)"
"R0086","G015","data_protection_measure","2","pseudonymisation_measure(M, S)","data_protection_measure(M, S) <= pseudonymisation_measure(M, S)"
"R0087","G015","risk_reduction_measure","2","pseudonymisation_measure(M, S)","risk_reduction_measure(M, S) <= pseudonymisation_measure(M, S)"
"R0088","G015","supports_data_protection_obligations","2","controller(A, S) & pseudonymisation_measure(M, S)","supports_data_protection_obligations(A, S) <= controller(A, S) & pseudonymisation_measure(M, S)"
"R0089","G015","supports_data_protection_obligations","2","processor(A, S) & pseudonymisation_measure(M, S)","supports_data_protection_obligations(A, S) <= processor(A, S) & pseudonymisation_measure(M, S)"
"R0090","G016","effective_pseudonymisation","2","pseudonymisation_applied(S, D) & additional_information_kept_separately(D) & technical_organisational_measures(S) & authorised_persons_indicated(S)","effective_pseudonymisation(S, D) <= pseudonymisation_applied(S, D) & additional_information_kept_separately(D) & technical_organisational_measures(S) & authorised_persons_indicated(S)"
"R0091","G016","general_analysis_allowed_within_same_controller","1","effective_pseudonymisation(S, D) & same_controller_analysis(S)","general_analysis_allowed_within_same_controller(S) <= effective_pseudonymisation(S, D) & same_controller_analysis(S)"
"R0092","G016","reidentification_safeguard","2","additional_information_kept_separately(D) & technical_organisational_measures(S)","reidentification_safeguard(S, D) <= additional_information_kept_separately(D) & technical_organisational_measures(S)"
"R0093","G017","online_identifier","1","internet_protocol_address(D)","online_identifier(D) <= internet_protocol_address(D)"
"R0094","G017","online_identifier","1","cookie_identifier(D)","online_identifier(D) <= cookie_identifier(D)"
"R0095","G017","online_identifier","1","radio_frequency_identification_tag(D)","online_identifier(D) <= radio_frequency_identification_tag(D)"
"R0096","G017","device_application_tool_protocol_identifier","1","online_identifier(D)","device_application_tool_protocol_identifier(D) <= online_identifier(D)"
"R0097","G017","identifiable_person","2","online_identifier(D) & concerns(D, A) & natural_person(A) & combined_with_unique_identifier(D)","identifiable_person(A, D) <= online_identifier(D) & concerns(D, A) & natural_person(A) & combined_with_unique_identifier(D)"
"R0098","G017","profiling_trace","2","online_identifier(D) & concerns(D, A) & natural_person(A) & server_received_information(D)","profiling_trace(D, A) <= online_identifier(D) & concerns(D, A) & natural_person(A) & server_received_information(D)"
"R0099","G017","profile_created","2","profiling_trace(D, A) & processing_concerns(S, D)","profile_created(A, S) <= profiling_trace(D, A) & processing_concerns(S, D)"
"R0100","G018","potential_recipient","2","disclosed_to(A, S)","potential_recipient(A, S) <= disclosed_to(A, S)"
"R0101","G018","recipient","2","potential_recipient(A, S) & ~public_authority_particular_inquiry_exception(A, S)","recipient(A, S) <= potential_recipient(A, S) & ~public_authority_particular_inquiry_exception(A, S)"
"R0102","G018","public_authority_particular_inquiry_exception","2","public_authority(A) & disclosed_to(A, S) & legal_obligation_disclosure(S) & official_mission(A, S) & necessary_for_particular_inquiry(S) & general_interest_inquiry(S)","public_authority_particular_inquiry_exception(A, S) <= public_authority(A) & disclosed_to(A, S) & legal_obligation_disclosure(S) & official_mission(A, S) & necessary_for_particular_inquiry(S) & general_interest_inquiry(S)"
"R0103","G018","written_reasoned_occasional_request","1","written_request(S) & reasoned_request(S) & occasional_request(S)","written_reasoned_occasional_request(S) <= written_request(S) & reasoned_request(S) & occasional_request(S)"
"R0104","G018","disclosure_request_not_entire_filing_system","1","disclosure_request(S) & ~concerns_entire_filing_system(S)","disclosure_request_not_entire_filing_system(S) <= disclosure_request(S) & ~concerns_entire_filing_system(S)"
"R0105","G018","disclosure_request_no_filing_system_interconnection","1","disclosure_request(S) & ~leads_to_filing_system_interconnection(S)","disclosure_request_no_filing_system_interconnection(S) <= disclosure_request(S) & ~leads_to_filing_system_interconnection(S)"
"R0106","G018","public_authority_processing_must_follow_applicable_data_protection_rules","1","public_authority_particular_inquiry_exception(A, S)","public_authority_processing_must_follow_applicable_data_protection_rules(S) <= public_authority_particular_inquiry_exception(A, S)"
"R0107","G019","processing_must_conform_by","2","processing_already_under_way_on(S, '2016-05-24')","processing_must_conform_by(S, '2018-05-25') <= processing_already_under_way_on(S, '2016-05-24')"
"R0108","G019","consent_renewal_not_required","1","consent_under_directive_95_46(S) & consent_meets_gdpr_conditions(S)","consent_renewal_not_required(S) <= consent_under_directive_95_46(S) & consent_meets_gdpr_conditions(S)"
"R0109","G020","applies","3","in_force('gdpr', T)  & gdpr_territorial_link(A, S)  & gdpr_material(S)  & ~gdpr_excluded(S)","applies(S, T, 'gdpr') <= in_force('gdpr', T)  & gdpr_territorial_link(A, S)  & gdpr_material(S)  & ~gdpr_excluded(S)"
"R0110","G020","applies_via_actor","4","in_force('gdpr', T)  & gdpr_territorial_link(A, S)  & gdpr_material(S)  & ~gdpr_excluded(S)","applies_via_actor(S, T, 'gdpr', A) <= in_force('gdpr', T)  & gdpr_territorial_link(A, S)  & gdpr_material(S)  & ~gdpr_excluded(S)"
"R0111","G021","gdpr_material","1","provision_trigger('GDPR_A1.1', A, S)","gdpr_material(S) <= provision_trigger('GDPR_A1.1', A, S)"
"R0112","G023","obligation","3","provision_trigger('GDPR_A1.3', A, X)","obligation(A, X, 'GDPR_A1.3') <= provision_trigger('GDPR_A1.3', A, X)"
"R0113","G025","gdpr_material","1","processing(S) & processing_concerns(S, D) & personal_data(D) & automated_means(S)","gdpr_material(S) <= processing(S) & processing_concerns(S, D) & personal_data(D) & automated_means(S)"
"R0114","G025","gdpr_material","1","processing(S) & processing_concerns(S, D) & personal_data(D) & filing_system(S)","gdpr_material(S) <= processing(S) & processing_concerns(S, D) & personal_data(D) & filing_system(S)"
"R0115","G026","gdpr_excluded","1","activity_outside_union_law(S)","gdpr_excluded(S) <= activity_outside_union_law(S)"
"R0116","G027","gdpr_excluded","1","member_state_cfsp_activity(S)","gdpr_excluded(S) <= member_state_cfsp_activity(S)"
"R0117","G027","gdpr_material","1","provision_trigger('GDPR_A2.2.b', A, S)","gdpr_material(S) <= provision_trigger('GDPR_A2.2.b', A, S)"
"R0118","G028","gdpr_excluded","1","purely_personal_household_activity(S)","gdpr_excluded(S) <= purely_personal_household_activity(S)"
"R0119","G029","gdpr_excluded","1","led_law_enforcement_processing(S)","gdpr_excluded(S) <= led_law_enforcement_processing(S)"
"R0120","G030","gdpr_excluded","1","provision_trigger('GDPR_A2.2', A, S)","gdpr_excluded(S) <= provision_trigger('GDPR_A2.2', A, S)"
"R0121","G031","gdpr_excluded","1","eu_institution_processing(S)","gdpr_excluded(S) <= eu_institution_processing(S)"
"R0122","G032","gdpr_material","1","provision_trigger('GDPR_A2.4', A, S)","gdpr_material(S) <= provision_trigger('GDPR_A2.4', A, S)"
"R0123","G032","obligation","3","provision_trigger('GDPR_A2.4', A, X)","obligation(A, X, 'GDPR_A2.4') <= provision_trigger('GDPR_A2.4', A, X)"
"R0124","G033","gdpr_territorial_link","2","provision_trigger('GDPR_A3', A, S)","gdpr_territorial_link(A, S) <= provision_trigger('GDPR_A3', A, S)"
"R0125","G034","gdpr_territorial_link","2","controller(A, S) & established_in(A, 'eu')  & processing_in_context_of_establishment(S, A)","gdpr_territorial_link(A, S) <= controller(A, S) & established_in(A, 'eu')  & processing_in_context_of_establishment(S, A)"
"R0126","G034","gdpr_territorial_link","2","processor(A, S)  & established_in(A, 'eu')  & processing_in_context_of_establishment(S, A)","gdpr_territorial_link(A, S) <= processor(A, S)  & established_in(A, 'eu')  & processing_in_context_of_establishment(S, A)"
"R0127","G035","gdpr_territorial_link","2","controller(A, S) & data_subjects_in_eu_targeted(S, A)","gdpr_territorial_link(A, S) <= controller(A, S) & data_subjects_in_eu_targeted(S, A)"
"R0128","G035","gdpr_territorial_link","2","processor(A, S)  & data_subjects_in_eu_targeted(S, A)","gdpr_territorial_link(A, S) <= processor(A, S)  & data_subjects_in_eu_targeted(S, A)"
"R0129","G036","gdpr_territorial_link","2","controller(A, S) & monitors_behaviour_in_eu(A, S)","gdpr_territorial_link(A, S) <= controller(A, S) & monitors_behaviour_in_eu(A, S)"
"R0130","G036","gdpr_territorial_link","2","processor(A, S)  & monitors_behaviour_in_eu(A, S)","gdpr_territorial_link(A, S) <= processor(A, S)  & monitors_behaviour_in_eu(A, S)"
"R0131","G037","gdpr_territorial_link","2","provision_trigger('GDPR_A3.2', A, S)","gdpr_territorial_link(A, S) <= provision_trigger('GDPR_A3.2', A, S)"
"R0132","G038","gdpr_territorial_link","2","controller(A, S) & member_state_law_via_intl_law(A)","gdpr_territorial_link(A, S) <= controller(A, S) & member_state_law_via_intl_law(A)"
"R0133","G039","personal_data","1","concerns(X, A) & natural_person(A) & identifies(X, A)","personal_data(X) <= concerns(X, A) & natural_person(A) & identifies(X, A)"
"R0134","G040","personal_data","1","concerns(D, A) & natural_person(A) & identifies(D, A)","personal_data(D) <= concerns(D, A) & natural_person(A) & identifies(D, A)"
"R0135","G040","definition_matches","2","provision_trigger('GDPR_A4.1', A, X)","definition_matches('personal_data', X) <= provision_trigger('GDPR_A4.1', A, X)"
"R0136","G041","processing","1","processing_operation(S)","processing(S) <= processing_operation(S)"
"R0137","G041","definition_matches","2","provision_trigger('GDPR_A4.2', A, X)","definition_matches('processing', X) <= provision_trigger('GDPR_A4.2', A, X)"
"R0138","G042","definition_matches","2","provision_trigger('GDPR_A4.3', A, X)","definition_matches('restriction_of_processing', X) <= provision_trigger('GDPR_A4.3', A, X)"
"R0139","G043","profiling","1","automated_processing(S) & uses_personal_data_to_evaluate_personal_aspects(S)","profiling(S) <= automated_processing(S) & uses_personal_data_to_evaluate_personal_aspects(S)"
"R0140","G043","definition_matches","2","provision_trigger('GDPR_A4.4', A, X)","definition_matches('profiling', X) <= provision_trigger('GDPR_A4.4', A, X)"
"R0141","G044","pseudonymisation","1","personal_data_no_longer_attributable_without_additional_information(S) & additional_information_kept_separately(S) & technical_organisational_measures(S)","pseudonymisation(S) <= personal_data_no_longer_attributable_without_additional_information(S) & additional_information_kept_separately(S) & technical_organisational_measures(S)"
"R0142","G044","definition_matches","2","provision_trigger('GDPR_A4.5', A, X)","definition_matches('pseudonymisation', X) <= provision_trigger('GDPR_A4.5', A, X)"
"R0143","G045","filing_system","1","structured_personal_data_set(S) & accessible_according_to_specific_criteria(S)","filing_system(S) <= structured_personal_data_set(S) & accessible_according_to_specific_criteria(S)"
"R0144","G045","definition_matches","2","provision_trigger('GDPR_A4.6', A, X)","definition_matches('filing_system', X) <= provision_trigger('GDPR_A4.6', A, X)"
"R0145","G046","controller","2","determines_purposes_and_means(A, S)","controller(A, S) <= determines_purposes_and_means(A, S)"
"R0146","G046","definition_matches","2","provision_trigger('GDPR_A4.7', A, X)","definition_matches('controller', X) <= provision_trigger('GDPR_A4.7', A, X)"
